Jahr;Nachname;Vorname;Geschlecht;Funktion;Departement;Reihenfolge;Bezirk
1998;Inauen;Josef;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
1998;Sutter;Hans;m;Bauherr;Bau- und Umweltdepartement;6;Schwende-Rüte
1998;Wild;Alfred;m;Landesfähnrich;Justiz-, Polizei- und Militärdepartement;7;Appenzell
1997;Loepfe;Arthur;m;Stillstehender Landammann;Volkswirtschaftsdepartement;1;Schwende-Rüte
1997;Schmid-Sutter;Carlo;m;Regierender Landammann;Erziehungsdepartement;2;Oberegg
1997;Hörler;Hans;m;Statthalter;Gesundheits- und Sozialdepartement;3;Schlatt-Haslen
1997;Metzler-Arnold;Ruth;f;Frau Säckelmeister;Finanzdepartement;4;Appenzell
1997;Inauen;Josef;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
1997;Sutter;Hans;m;Bauherr;Bau- und Umweltdepartement;6;Schwende-Rüte
1997;Wild;Alfred;m;Landesfähnrich;Justiz-, Polizei- und Militärdepartement;7;Appenzell
1996;Loepfe;Arthur;m;Stillstehender Landammann;Volkswirtschaftsdepartement;1;Schwende-Rüte
1996;Schmid-Sutter;Carlo;m;Regierender Landammann;Erziehungsdepartement;2;Oberegg
1996;Hörler;Hans;m;Statthalter;Fürsorgedepartement & Sanitätsdepartement;3;Schlatt-Haslen
1996;Metzler-Arnold;Ruth;f;Frau Säckelmeister;Finanzdepartement;4;Appenzell
1996;Inauen;Josef;m;Landeshauptmann;Landwirtschaftsdepartement;5;Schwende-Rüte
1996;Sutter;Hans;m;Bauherr;Baudepartement;6;Schwende-Rüte
1996;Wild;Alfred;m;Landesfähnrich;Justiz- und Polizeidepartement & Militärdepartement;7;Appenzell
1995;Loepfe;Arthur;m;Regierender Landammann;Volkswirtschaftsdepartement;1;Schwende-Rüte
1995;Schmid-Sutter;Carlo;m;Stillstehender Landammann;Erziehungsdepartement;2;Oberegg
1995;Hörler;Hans;m;Statthalter;Sanitätsdepartement;3;Schlatt-Haslen
1995;Fässler;Charly;m;Säckelmeister;Finanzdepartement;4;Appenzell
1995;Inauen;Josef;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
1995;Sutter;Hans;m;Bauherr;Baudepartement;6;Schwende-Rüte
1995;Wild;Alfred;m;Landesfähnrich;Justiz- und Polizeidepartement;7;Appenzell
1995;Sutter;Josef;m;Armleutsäckelmeister;Fürsorgedepartement;8;Schwende-Rüte
1995;Bischofberger;Walter;m;Zeugherr;Militärdepartement;9;Oberegg
1994;Loepfe;Arthur;m;Regierender Landammann;Volkswirtschaftsdepartement;1;Schwende-Rüte
1994;Schmid-Sutter;Carlo;m;Stillstehender Landammann;Erziehungsdepartement;2;Oberegg
1994;Hörler;Hans;m;Statthalter;Sanitätsdepartement;3;Schlatt-Haslen
1994;Fässler;Charly;m;Säckelmeister;Finanzdepartement;4;Appenzell
1994;Inauen;Josef;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
1994;Sutter;Hans;m;Bauherr;Baudepartement;6;Schwende-Rüte
1994;Wild;Alfred;m;Landesfähnrich;Justiz- und Polizeidepartement;7;Appenzell
1994;Sutter;Josef;m;Armleutsäckelmeister;Fürsorgedepartement;8;Schwende-Rüte
1994;Bischofberger;Walter;m;Zeugherr;Militärdepartement;9;Oberegg
1993;Loepfe;Arthur;m;Stillstehender Landammann;Volkswirtschaftsdepartement;1;Schwende-Rüte
1993;Schmid-Sutter;Carlo;m;Regierender Landammann;Erziehungsdepartement;2;Oberegg
1993;Hörler;Hans;m;Statthalter;Sanitätsdepartement;3;Schlatt-Haslen
1993;Fässler;Charly;m;Säckelmeister;Finanzdepartement;4;Appenzell
1993;Inauen;Josef;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
1993;Sutter;Hans;m;Bauherr;Baudepartement;6;Schwende-Rüte
1993;Wild;Alfred;m;Landesfähnrich;Justiz- und Polizeidepartement;7;Appenzell
1993;Sutter;Josef;m;Armleutsäckelmeister;Fürsorgedepartement;8;Schwende-Rüte
1993;Bischofberger;Walter;m;Zeugherr;Militärdepartement;9;Oberegg
1992;Graf;Beat;m;Stillstehender Landammann;Volkswirtschaftsdepartement;1;Appenzell
1992;Schmid-Sutter;Carlo;m;Regierender Landammann;Erziehungsdepartement;2;Oberegg
1992;Hörler;Hans;m;Statthalter;Sanitätsdepartement;3;Schlatt-Haslen
1992;Fässler;Charly;m;Säckelmeister;Finanzdepartement;4;Appenzell
1992;Inauen;Josef;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
1992;Sutter;Hans;m;Bauherr;Baudepartement;6;Schwende-Rüte
1992;Wild;Alfred;m;Landesfähnrich;Justiz- und Polizeidepartement;7;Appenzell
1992;Sutter;Josef;m;Armleutsäckelmeister;Fürsorgedepartement;8;Schwende-Rüte
1992;Bischofberger;Walter;m;Zeugherr;Militärdepartement;9;Oberegg
1991;Graf;Beat;m;Regierender Landammann;Volkswirtschaftsdepartement;1;Appenzell
1991;Schmid-Sutter;Carlo;m;Stillstehender Landammann;Erziehungsdepartement;2;Oberegg
1991;Manser;Hans;m;Statthalter;Sanitätsdepartement;3;Gonten
1991;Fässler;Charly;m;Säckelmeister;Finanzdepartement;4;Appenzell
1991;Inauen;Josef;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
1991;Neff;Emil;m;Bauherr;Baudepartement;6;Appenzell
1991;Wild;Alfred;m;Landesfähnrich;Justiz- und Polizeidepartement;7;Appenzell
1991;Sutter;Josef;m;Armleutsäckelmeister;Fürsorgedepartement;8;Schwende-Rüte
1991;Bischofberger;Walter;m;Zeugherr;Militärdepartement;9;Oberegg
